Middle Super Output Area,Year,MSOA11NM,LAD11NM,LAD11CD,total,M_work,F_work
E02000001,2002,City of London 001,City of London,E09000001,7280,3222,2506
E02000002,2002,Barking and Dagenham 001,Barking and Dagenham,E09000002,6333,1707,1892
E02000003,2002,Barking and Dagenham 002,Barking and Dagenham,E09000002,9236,2907,3119
E02000004,2002,Barking and Dagenham 003,Barking and Dagenham,E09000002,6208,1877,2011
E02000005,2002,Barking and Dagenham 004,Barking and Dagenham,E09000002,7919,2423,2560
E02000007,2002,Barking and Dagenham 006,Barking and Dagenham,E09000002,7806,2165,2521
E02000008,2002,Barking and Dagenham 007,Barking and Dagenham,E09000002,10563,3108,3283
E02000009,2002,Barking and Dagenham 008,Barking and Dagenham,E09000002,8679,2762,2963
E02000010,2002,Barking and Dagenham 009,Barking and Dagenham,E09000002,7826,2348,2523
E02000011,2002,Barking and Dagenham 010,Barking and Dagenham,E09000002,5750,1938,1891
E02000012,2002,Barking and Dagenham 011,Barking and Dagenham,E09000002,7609,2397,2503
E02000013,2002,Barking and Dagenham 012,Barking and Dagenham,E09000002,7661,2254,2524
E02000014,2002,Barking and Dagenham 013,Barking and Dagenham,E09000002,8843,2778,2813
E02000015,2002,Barking and Dagenham 014,Barking and Dagenham,E09000002,6878,2030,2224
E02000016,2002,Barking and Dagenham 015,Barking and Dagenham,E09000002,6044,2160,2038
E02000017,2002,Barking and Dagenham 016,Barking and Dagenham,E09000002,7760,2771,2527
E02000018,2002,Barking and Dagenham 017,Barking and Dagenham,E09000002,7408,2235,2467
E02000019,2002,Barking and Dagenham 018,Barking and Dagenham,E09000002,7461,2333,2396
E02000020,2002,Barking and Dagenham 019,Barking and Dagenham,E09000002,7211,2279,2367
E02000021,2002,Barking and Dagenham 020,Barking and Dagenham,E09000002,7567,2411,2474
E02000022,2002,Barking and Dagenham 021,Barking and Dagenham,E09000002,6690,2025,2218
E02000023,2002,Barking and Dagenham 022,Barking and Dagenham,E09000002,6060,1881,2034
E02006799,2002,Barking and Dagenham 023,Barking and Dagenham,E09000002,8845,2647,2852
E02000024,2002,Barnet 001,Barnet,E09000003,9297,2934,3085
E02000025,2002,Barnet 002,Barnet,E09000003,7633,2531,2610
E02000026,2002,Barnet 003,Barnet,E09000003,6188,1992,2093
E02000027,2002,Barnet 004,Barnet,E09000003,9452,2801,3259
E02000028,2002,Barnet 005,Barnet,E09000003,5483,1823,1839
E02000029,2002,Barnet 006,Barnet,E09000003,7794,2653,2728
E02000030,2002,Barnet 007,Barnet,E09000003,9126,2719,2946
E02000031,2002,Barnet 008,Barnet,E09000003,7199,2203,2271
E02000032,2002,Barnet 009,Barnet,E09000003,7278,2364,2472
E02000033,2002,Barnet 010,Barnet,E09000003,7564,2353,2567
E02000034,2002,Barnet 011,Barnet,E09000003,7910,2564,2718
E02000035,2002,Barnet 012,Barnet,E09000003,7754,2603,2675
E02000036,2002,Barnet 013,Barnet,E09000003,9688,3011,3323
E02000037,2002,Barnet 014,Barnet,E09000003,9046,2710,3066
E02000038,2002,Barnet 015,Barnet,E09000003,9043,3081,3122
E02000039,2002,Barnet 016,Barnet,E09000003,6187,2015,2134
E02000040,2002,Barnet 017,Barnet,E09000003,6199,1891,1950
E02000041,2002,Barnet 018,Barnet,E09000003,7776,2507,2492
E02000042,2002,Barnet 019,Barnet,E09000003,9426,3314,3239
E02000043,2002,Barnet 020,Barnet,E09000003,7192,2351,2420
E02000044,2002,Barnet 021,Barnet,E09000003,7739,2531,2657
E02000045,2002,Barnet 022,Barnet,E09000003,9067,3136,3181
E02000046,2002,Barnet 023,Barnet,E09000003,6213,2334,2214
E02000047,2002,Barnet 024,Barnet,E09000003,9269,2912,3180
E02000048,2002,Barnet 025,Barnet,E09000003,7863,2587,2664
E02000049,2002,Barnet 026,Barnet,E09000003,7762,2277,2599
E02000050,2002,Barnet 027,Barnet,E09000003,9027,3032,3143
E02000051,2002,Barnet 028,Barnet,E09000003,7821,2642,2579
E02000052,2002,Barnet 029,Barnet,E09000003,8687,3000,3278
E02000053,2002,Barnet 030,Barnet,E09000003,6633,2412,2367
E02000054,2002,Barnet 031,Barnet,E09000003,6162,2214,2152
E02000055,2002,Barnet 032,Barnet,E09000003,9374,3131,3145
E02000056,2002,Barnet 033,Barnet,E09000003,8826,2676,2865
E02000057,2002,Barnet 034,Barnet,E09000003,6421,1943,2069
E02000058,2002,Barnet 035,Barnet,E09000003,9113,2909,3012
E02000059,2002,Barnet 036,Barnet,E09000003,9127,3251,3076
E02000060,2002,Barnet 037,Barnet,E09000003,9228,2806,2795
E02000061,2002,Barnet 038,Barnet,E09000003,7433,2577,2495
E02000062,2002,Barnet 039,Barnet,E09000003,5788,1912,2006
E02000063,2002,Barnet 040,Barnet,E09000003,6085,2138,2062
E02000064,2002,Barnet 041,Barnet,E09000003,5679,1797,2130
E02000065,2002,Bexley 001,Bexley,E09000004,6513,2188,2238
E02000066,2002,Bexley 002,Bexley,E09000004,9343,2886,3237
E02000067,2002,Bexley 003,Bexley,E09000004,7814,2514,2635
E02000068,2002,Bexley 004,Bexley,E09000004,5687,1873,1911
E02000069,2002,Bexley 005,Bexley,E09000004,5782,1825,1913
E02000070,2002,Bexley 006,Bexley,E09000004,7590,2360,2494
E02000071,2002,Bexley 007,Bexley,E09000004,7458,2380,2425
E02000072,2002,Bexley 008,Bexley,E09000004,10573,3185,3499
E02000073,2002,Bexley 009,Bexley,E09000004,10374,3297,3295
E02000074,2002,Bexley 010,Bexley,E09000004,7416,2258,2410
E02000075,2002,Bexley 011,Bexley,E09000004,7754,2339,2467
E02000077,2002,Bexley 013,Bexley,E09000004,7569,2349,2444
E02000078,2002,Bexley 014,Bexley,E09000004,7494,2480,2576
E02000079,2002,Bexley 015,Bexley,E09000004,7431,2356,2421
E02000080,2002,Bexley 016,Bexley,E09000004,8973,2801,2903
E02000081,2002,Bexley 017,Bexley,E09000004,7322,2272,2411
E02000082,2002,Bexley 018,Bexley,E09000004,8833,2836,2813
E02000083,2002,Bexley 019,Bexley,E09000004,9022,2752,2938
E02000084,2002,Bexley 020,Bexley,E09000004,10280,3283,3425
E02000085,2002,Bexley 021,Bexley,E09000004,7617,2380,2523
E02000086,2002,Bexley 022,Bexley,E09000004,7326,2395,2469
E02000087,2002,Bexley 023,Bexley,E09000004,7194,2290,2246
E02000088,2002,Bexley 024,Bexley,E09000004,7293,2388,2387
E02000089,2002,Bexley 025,Bexley,E09000004,7418,2244,2417
E02000090,2002,Bexley 026,Bexley,E09000004,8082,2458,2587
E02000091,2002,Bexley 027,Bexley,E09000004,9123,2673,2923
E02000092,2002,Bexley 028,Bexley,E09000004,5749,1671,1874
E02006785,2002,Bexley 029,Bexley,E09000004,6093,1889,1991
E02000093,2002,Brent 001,Brent,E09000005,8998,3062,3060
E02000094,2002,Brent 002,Brent,E09000005,7094,2431,2333
E02000095,2002,Brent 003,Brent,E09000005,8786,2889,2984
E02000096,2002,Brent 004,Brent,E09000005,6605,2261,2234
E02000097,2002,Brent 005,Brent,E09000005,7812,2696,2517
E02000098,2002,Brent 006,Brent,E09000005,7008,2316,2266
E02000099,2002,Brent 007,Brent,E09000005,6011,2128,1982
E02000100,2002,Brent 008,Brent,E09000005,7350,2544,2665
E02000101,2002,Brent 009,Brent,E09000005,7446,2377,2497
E02000102,2002,Brent 010,Brent,E09000005,6873,2369,2303
E02000103,2002,Brent 011,Brent,E09000005,7609,2555,2568
E02000104,2002,Brent 012,Brent,E09000005,5991,2066,1974
E02000105,2002,Brent 013,Brent,E09000005,6901,2468,2320
E02000106,2002,Brent 014,Brent,E09000005,8932,3191,3096
