MSOA,Local Authority,Construction,Wholesale (including motor trades),Retail (excluding motor trades),Accommodation and Food Service activities,Information and communication,Head Office and Management Consultancy activities,"Professional, Scientific and Technical Activities (excluding Head Office and Management Consultancy activities)",Administrative and Support Service activities,Human Health and Social Work activities
E02000001,City of London,4900,4900,5900,18200,28800,29400,65900,37100,3800
E02000002,Barking and Dagenham,0,,,200,0,,,,200
E02000003,Barking and Dagenham,100,300,400,300,100,,,200,200
E02000004,Barking and Dagenham,100,0,0,0,0,,,0,200
E02000005,Barking and Dagenham,0,100,100,100,0,0,0,100,0
E02000007,Barking and Dagenham,0,,,0,0,0,100,200,500
E02000008,Barking and Dagenham,100,0,100,100,0,0,0,100,300
E02000009,Barking and Dagenham,100,0,100,,0,,,,100
E02000010,Barking and Dagenham,0,,,,0,0,0,,0
E02000011,Barking and Dagenham,400,500,100,100,0,0,0,300,100
E02000012,Barking and Dagenham,100,0,100,100,0,0,0,0,300
E02000013,Barking and Dagenham,0,,,0,0,,,0,100
E02000014,Barking and Dagenham,100,0,200,100,0,,,100,200
E02000015,Barking and Dagenham,0,0,200,0,0,0,0,0,100
E02000016,Barking and Dagenham,300,100,900,300,400,0,400,2200,900
E02000017,Barking and Dagenham,100,0,100,100,100,0,0,200,100
E02000018,Barking and Dagenham,0,200,100,0,0,,,0,100
E02000019,Barking and Dagenham,100,500,600,100,0,0,0,700,100
E02000020,Barking and Dagenham,400,1200,200,0,0,0,100,400,100
E02000021,Barking and Dagenham,100,400,0,300,0,,,100,300
E02000022,Barking and Dagenham,100,400,400,100,0,100,100,200,200
E02000023,Barking and Dagenham,200,700,100,0,0,0,0,100,100
E02006799,Barking and Dagenham,100,400,200,100,0,0,0,400,200
E02000024,Barnet,200,300,700,600,100,200,400,300,600
E02000025,Barnet,100,100,100,200,100,100,100,200,200
E02000026,Barnet,100,0,0,100,0,0,100,100,0
E02000027,Barnet,100,100,0,,0,0,0,100,
E02000028,Barnet,0,200,100,0,100,0,100,200,200
E02000029,Barnet,300,200,300,100,100,0,200,200,200
E02000030,Barnet,100,100,100,200,100,100,100,100,300
E02000031,Barnet,300,200,500,300,100,200,400,800,400
E02000032,Barnet,100,0,100,100,100,0,100,0,100
E02000033,Barnet,300,200,100,100,100,100,0,200,200
E02000034,Barnet,100,100,300,100,100,100,100,200,600
E02000035,Barnet,100,100,100,100,100,100,200,100,400
E02000036,Barnet,100,0,100,200,100,100,0,0,100
E02000037,Barnet,100,100,100,200,100,100,100,100,100
E02000038,Barnet,100,100,400,100,100,,,100,500
E02000039,Barnet,300,200,400,300,200,100,100,200,200
E02000040,Barnet,100,0,200,100,0,,,200,300
E02000041,Barnet,200,200,1000,300,200,100,300,600,400
E02000042,Barnet,300,300,800,300,300,200,600,800,600
E02000043,Barnet,0,0,100,0,100,0,100,0,200
E02000044,Barnet,200,100,0,0,100,100,100,100,0
E02000045,Barnet,100,200,500,100,100,0,100,100,200
E02000046,Barnet,200,300,500,300,200,100,300,300,200
E02000047,Barnet,100,100,200,0,0,0,0,200,1100
E02000048,Barnet,100,100,200,100,100,100,100,100,100
E02000049,Barnet,0,0,0,,0,0,0,0,100
E02000050,Barnet,100,300,100,300,100,300,100,100,300
E02000051,Barnet,200,300,200,200,300,200,600,400,600
E02000052,Barnet,100,100,200,1500,100,100,200,200,200
E02000053,Barnet,100,300,100,200,200,0,0,300,1400
E02000054,Barnet,100,100,100,,100,0,100,100,
E02000055,Barnet,300,300,400,300,200,200,300,400,1100
E02000056,Barnet,100,100,200,100,100,100,100,100,300
E02000057,Barnet,100,100,100,100,100,0,100,200,200
E02000058,Barnet,200,200,600,100,100,200,200,300,400
E02000059,Barnet,200,600,500,100,300,100,600,400,300
E02000060,Barnet,200,100,200,200,100,300,100,100,700
E02000061,Barnet,200,100,600,400,200,100,300,800,500
E02000062,Barnet,300,400,5600,600,100,0,100,100,300
E02000063,Barnet,100,0,0,100,0,,,100,200
E02000064,Barnet,0,100,100,0,0,0,100,100,200
E02000065,Bexley,200,300,100,100,100,100,100,400,100
E02000066,Bexley,0,,,0,0,,,0,200
E02000067,Bexley,100,100,600,100,100,0,0,800,100
E02000068,Bexley,600,600,1000,200,0,100,100,200,300
E02000069,Bexley,0,0,100,0,0,0,0,0,200
E02000070,Bexley,100,0,100,0,0,0,0,0,0
E02000071,Bexley,100,100,200,100,0,0,0,100,100
E02000072,Bexley,200,400,100,100,200,0,100,400,400
E02000073,Bexley,100,0,300,0,0,0,0,100,100
E02000074,Bexley,0,600,0,0,0,,,100,100
E02000075,Bexley,100,0,100,100,0,0,0,0,200
E02000077,Bexley,100,100,100,100,0,0,0,0,200
E02000078,Bexley,100,0,100,100,0,0,0,0,100
E02000079,Bexley,100,100,2200,700,200,0,200,1200,700
E02000080,Bexley,200,100,500,300,0,0,100,200,300
E02000081,Bexley,100,0,0,100,0,0,0,0,200
E02000082,Bexley,100,0,100,100,0,0,0,0,100
E02000083,Bexley,600,800,1200,500,200,0,100,400,300
E02000084,Bexley,200,100,100,100,0,0,100,100,200
E02000085,Bexley,100,100,100,100,0,0,0,100,100
E02000086,Bexley,100,,,100,0,0,0,100,0
E02000087,Bexley,200,0,100,200,100,0,100,100,100
E02000088,Bexley,100,0,0,100,0,0,100,100,100
E02000089,Bexley,100,,,100,0,,,0,300
E02000090,Bexley,300,200,600,400,100,100,300,700,700
E02000091,Bexley,100,0,100,200,100,0,100,200,1700
E02000092,Bexley,400,600,200,100,300,0,400,1700,800
E02006785,Bexley,0,0,0,0,0,0,0,0,100
E02000093,Brent,200,400,500,100,100,0,100,100,600
E02000094,Brent,100,400,700,200,,,,200,100
E02000095,Brent,100,0,400,200,100,0,100,100,200
E02000096,Brent,100,100,300,100,100,100,200,200,200
E02000097,Brent,300,300,100,100,0,0,100,100,100
E02000098,Brent,100,0,100,100,100,100,100,0,300
E02000099,Brent,100,500,300,100,100,0,100,300,200
E02000100,Brent,100,100,100,100,100,100,200,100,4400
E02000101,Brent,100,0,600,100,100,0,0,100,400
E02000102,Brent,200,100,100,0,0,,,100,100
E02000103,Brent,300,1000,300,100,100,200,100,700,200
E02000104,Brent,0,100,100,0,100,0,100,0,300
E02000105,Brent,100,100,200,100,100,0,100,0,1100
E02000106,Brent,300,200,300,300,0,0,100,200,200
E02000107,Brent,100,100,300,100,100,0,100,300,100
E02000108,Brent,0,0,0,0,0,0,0,0,0
E02000109,Brent,900,1200,600,1300,500,0,300,2200,2700
E02000110,Brent,100,0,100,100,0,0,0,0,100
E02000111,Brent,100,100,200,100,100,0,100,100,200
E02000112,Brent,100,100,600,400,200,100,100,300,600
E02000113,Brent,100,200,1500,100,100,100,0,300,100
E02000114,Brent,0,100,300,200,100,0,100,100,100
E02000115,Brent,0,0,100,100,,,,100,100
E02000116,Brent,100,200,200,100,0,,,100,300
E02000117,Brent,100,100,100,0,0,0,0,0,300
E02000118,Brent,300,500,300,300,200,0,100,300,100
E02000119,Brent,300,3500,600,300,300,200,500,3000,1400
E02000120,Brent,100,100,300,300,100,0,100,100,300
E02000121,Brent,200,1000,900,1500,200,0,100,200,300
E02000122,Brent,100,0,0,0,100,100,100,400,100
E02000123,Brent,100,100,500,200,100,0,100,100,200
E02000124,Brent,200,100,400,400,600,200,400,600,400
E02000125,Brent,0,100,100,100,100,0,100,100,0
E02000126,Brent,100,0,0,100,0,0,0,0,100
E02000127,Bromley,0,0,100,100,0,0,0,0,300
E02000128,Bromley,100,0,300,200,0,100,100,100,300
E02000130,Bromley,400,300,400,300,100,0,100,400,100
E02000131,Bromley,100,0,0,100,100,0,100,0,500
E02000132,Bromley,100,100,400,500,200,100,300,300,200
E02000133,Bromley,100,100,100,300,100,100,100,100,300
E02000134,Bromley,400,100,700,600,200,100,500,1200,1600
E02000135,Bromley,100,100,100,100,0,0,100,100,500
E02000136,Bromley,100,100,100,100,0,100,100,500,400
E02000137,Bromley,100,0,0,,100,0,100,0,300
E02000138,Bromley,100,100,300,100,100,0,200,200,400
E02000139,Bromley,200,0,100,100,100,0,100,300,400
E02000140,Bromley,500,300,100,100,100,0,100,,100
E02000141,Bromley,100,100,100,,0,0,0,100,300
E02000142,Bromley,100,100,300,200,100,200,200,200,600
E02000144,Bromley,200,200,3600,500,700,100,800,1200,1300
E02000145,Bromley,200,500,1400,200,100,0,0,100,200
E02000146,Bromley,400,200,100,200,100,0,200,100,1000
E02000147,Bromley,100,0,100,0,100,100,100,100,100
E02000148,Bromley,100,100,300,300,200,100,100,300,100
E02000149,Bromley,500,300,200,100,100,0,100,100,300
E02000150,Bromley,100,100,100,200,0,100,0,0,0
E02000151,Bromley,100,,,,100,,,100,
