MSOA,Local Authority,Construction,Wholesale (including motor trades),Retail (excluding motor trades),Accommodation and Food Service activities,Information and communication,Head Office and Management Consultancy activities,"Professional, Scientific and Technical Activities (excluding Head Office and Management Consultancy activities)",Administrative and Support Service activities,Human Health and Social Work activities,,,,,,,,,,
E02000001,City of London,820,645,845,"1,250","2,155","2,580","5,740","7,600",300,,,,,,,,,,
E02000002,Barking and Dagenham,40,15,15,10,15,10,15,20,25,,,,,,,,,,
E02000003,Barking and Dagenham,80,50,45,40,50,25,40,35,35,,,,,,,,,,
E02000004,Barking and Dagenham,50,10,10,5,10,5,15,15,15,,,,,,,,,,
E02000005,Barking and Dagenham,70,20,20,20,25,10,20,20,15,,,,,,,,,,
E02000007,Barking and Dagenham,60,5,15,15,5,10,25,35,50,,,,,,,,,,
E02000008,Barking and Dagenham,90,10,20,15,20,10,25,45,50,,,,,,,,,,
E02000009,Barking and Dagenham,70,15,35,15,40,20,40,30,40,,,,,,,,,,
E02000010,Barking and Dagenham,70,20,10,10,15,5,20,35,30,,,,,,,,,,
E02000011,Barking and Dagenham,60,25,25,15,15,5,15,30,20,,,,,,,,,,
E02000012,Barking and Dagenham,45,10,20,15,40,25,25,30,40,,,,,,,,,,
E02000013,Barking and Dagenham,45,5,20,10,10,10,15,25,30,,,,,,,,,,
E02000014,Barking and Dagenham,65,10,35,25,20,5,15,30,45,,,,,,,,,,
E02000015,Barking and Dagenham,40,15,30,10,15,15,20,30,35,,,,,,,,,,
E02000016,Barking and Dagenham,70,40,100,50,105,35,105,100,115,,,,,,,,,,
E02000017,Barking and Dagenham,55,15,15,25,45,20,30,40,30,,,,,,,,,,
E02000018,Barking and Dagenham,60,10,20,15,15,5,15,20,25,,,,,,,,,,
E02000019,Barking and Dagenham,65,35,20,10,20,15,30,30,25,,,,,,,,,,
E02000020,Barking and Dagenham,110,155,60,25,35,20,35,70,30,,,,,,,,,,
E02000021,Barking and Dagenham,60,20,10,25,10,10,25,25,35,,,,,,,,,,
E02000022,Barking and Dagenham,45,55,20,10,30,20,20,40,35,,,,,,,,,,
E02000023,Barking and Dagenham,45,65,20,10,25,10,15,40,35,,,,,,,,,,
E02006799,Barking and Dagenham,75,35,70,30,30,15,35,40,40,,,,,,,,,,
E02000024,Barnet,100,55,110,70,125,80,150,120,65,,,,,,,,,,
E02000025,Barnet,75,25,20,25,70,50,65,50,20,,,,,,,,,,
E02000026,Barnet,35,20,15,5,40,25,45,30,15,,,,,,,,,,
E02000027,Barnet,45,15,15,10,50,20,35,25,30,,,,,,,,,,
E02000028,Barnet,60,35,25,15,60,35,55,40,25,,,,,,,,,,
E02000029,Barnet,80,50,45,25,45,25,55,40,25,,,,,,,,,,
E02000030,Barnet,60,25,25,15,50,60,70,45,30,,,,,,,,,,
E02000031,Barnet,95,55,60,35,75,65,125,85,40,,,,,,,,,,
E02000032,Barnet,60,25,20,15,55,40,45,30,15,,,,,,,,,,
E02000033,Barnet,95,40,25,15,40,35,65,50,35,,,,,,,,,,
E02000034,Barnet,60,30,30,15,60,50,65,40,35,,,,,,,,,,
E02000035,Barnet,80,30,35,15,70,70,105,45,40,,,,,,,,,,
E02000036,Barnet,70,25,35,15,50,45,50,40,30,,,,,,,,,,
E02000037,Barnet,55,35,35,15,65,60,105,45,40,,,,,,,,,,
E02000038,Barnet,70,25,50,30,75,60,60,45,35,,,,,,,,,,
E02000039,Barnet,75,45,70,35,65,70,70,65,25,,,,,,,,,,
E02000040,Barnet,50,30,20,15,40,35,45,45,25,,,,,,,,,,
E02000041,Barnet,115,65,100,50,85,60,110,85,50,,,,,,,,,,
E02000042,Barnet,145,85,120,65,245,165,215,175,85,,,,,,,,,,
E02000043,Barnet,40,20,20,10,60,35,55,30,20,,,,,,,,,,
E02000044,Barnet,75,30,20,10,30,45,60,45,15,,,,,,,,,,
E02000045,Barnet,55,25,25,15,70,35,50,35,20,,,,,,,,,,
E02000046,Barnet,95,75,85,40,105,75,115,100,25,,,,,,,,,,
E02000047,Barnet,70,15,45,15,40,10,20,50,30,,,,,,,,,,
E02000048,Barnet,70,30,30,20,50,60,60,35,30,,,,,,,,,,
E02000049,Barnet,35,5,10,5,20,10,15,20,20,,,,,,,,,,
E02000050,Barnet,50,30,30,20,75,50,55,55,30,,,,,,,,,,
E02000051,Barnet,185,90,80,35,75,100,155,110,40,,,,,,,,,,
E02000052,Barnet,45,20,45,40,85,50,90,50,35,,,,,,,,,,
E02000053,Barnet,80,45,40,30,70,40,55,45,25,,,,,,,,,,
E02000054,Barnet,75,35,35,15,40,40,45,40,25,,,,,,,,,,
E02000055,Barnet,120,65,95,60,80,75,105,95,85,,,,,,,,,,
E02000056,Barnet,55,30,45,20,50,80,75,85,30,,,,,,,,,,
E02000057,Barnet,55,25,35,15,30,30,45,45,30,,,,,,,,,,
E02000058,Barnet,130,75,105,30,85,90,80,90,40,,,,,,,,,,
E02000059,Barnet,100,65,60,20,55,30,55,65,35,,,,,,,,,,
E02000060,Barnet,90,50,60,20,45,50,65,65,35,,,,,,,,,,
E02000061,Barnet,105,65,90,50,75,85,120,90,55,,,,,,,,,,
E02000062,Barnet,65,55,185,40,30,20,30,60,15,,,,,,,,,,
E02000063,Barnet,55,20,20,5,35,25,40,30,20,,,,,,,,,,
E02000064,Barnet,35,25,25,15,30,30,40,35,20,,,,,,,,,,
E02000065,Bexley,60,25,10,5,135,125,35,65,80,,,,,,,,,,
E02000066,Bexley,35,5,5,5,25,15,15,25,35,,,,,,,,,,
E02000067,Bexley,65,25,45,30,25,30,25,35,40,,,,,,,,,,
E02000068,Bexley,60,65,45,20,20,30,25,45,35,,,,,,,,,,
E02000069,Bexley,25,15,15,10,20,15,15,20,20,,,,,,,,,,
E02000070,Bexley,70,10,15,10,25,20,30,20,15,,,,,,,,,,
E02000071,Bexley,55,10,35,20,20,5,20,20,20,,,,,,,,,,
E02000072,Bexley,65,50,20,10,40,35,35,50,45,,,,,,,,,,
E02000073,Bexley,75,10,30,15,55,30,35,15,20,,,,,,,,,,
E02000074,Bexley,45,10,10,0,20,5,15,25,25,,,,,,,,,,
E02000075,Bexley,65,10,20,10,45,20,20,25,15,,,,,,,,,,
E02000077,Bexley,50,20,15,10,35,15,15,15,10,,,,,,,,,,
E02000078,Bexley,55,10,20,15,25,10,15,10,15,,,,,,,,,,
E02000079,Bexley,70,35,115,60,45,25,50,50,45,,,,,,,,,,
E02000080,Bexley,95,20,70,50,45,20,30,40,50,,,,,,,,,,
E02000081,Bexley,45,10,10,20,30,20,20,20,15,,,,,,,,,,
E02000082,Bexley,80,15,20,15,40,20,30,25,15,,,,,,,,,,
E02000083,Bexley,90,80,50,40,45,30,40,40,40,,,,,,,,,,
E02000084,Bexley,125,20,15,15,40,35,45,30,20,,,,,,,,,,
E02000085,Bexley,75,20,45,25,20,10,20,25,15,,,,,,,,,,
E02000086,Bexley,60,10,15,15,25,15,20,25,10,,,,,,,,,,
E02000087,Bexley,80,20,40,35,55,45,55,40,20,,,,,,,,,,
E02000088,Bexley,75,10,10,15,35,25,20,35,5,,,,,,,,,,
E02000089,Bexley,70,0,15,10,30,15,35,15,10,,,,,,,,,,
E02000090,Bexley,105,30,60,45,45,40,80,60,45,,,,,,,,,,
E02000091,Bexley,65,10,25,20,60,30,55,30,30,,,,,,,,,,
E02000092,Bexley,55,35,15,15,25,15,20,35,20,,,,,,,,,,
E02006785,Bexley,40,10,10,10,20,10,15,10,15,,,,,,,,,,
E02000093,Brent,135,40,30,15,50,35,40,40,35,,,,,,,,,,
E02000094,Brent,105,45,40,15,30,15,45,35,30,,,,,,,,,,
E02000095,Brent,80,35,80,35,55,25,45,40,30,,,,,,,,,,
E02000096,Brent,65,30,35,10,75,60,70,35,35,,,,,,,,,,
E02000097,Brent,115,40,30,15,25,20,40,45,20,,,,,,,,,,
E02000098,Brent,65,25,25,15,60,35,40,25,20,,,,,,,,,,
E02000099,Brent,75,70,65,15,55,30,40,35,20,,,,,,,,,,
E02000100,Brent,50,25,25,10,85,45,60,25,40,,,,,,,,,,
E02000101,Brent,50,25,30,15,45,20,20,35,30,,,,,,,,,,
E02000102,Brent,70,25,15,5,20,10,10,15,10,,,,,,,,,,
E02000103,Brent,120,120,75,30,65,30,50,80,25,,,,,,,,,,
E02000104,Brent,45,20,20,10,35,15,35,20,35,,,,,,,,,,
E02000105,Brent,50,25,50,35,50,25,50,40,35,,,,,,,,,,
E02000106,Brent,100,50,60,25,25,15,35,55,15,,,,,,,,,,
E02000107,Brent,60,30,40,20,55,40,60,50,30,,,,,,,,,,
E02000108,Brent,30,10,15,5,25,20,20,15,15,,,,,,,,,,
E02000109,Brent,130,155,120,75,125,55,105,120,60,,,,,,,,,,
E02000110,Brent,40,10,20,10,50,35,40,25,20,,,,,,,,,,
E02000111,Brent,40,30,65,25,45,20,45,35,30,,,,,,,,,,
E02000112,Brent,65,25,75,40,55,25,45,50,25,,,,,,,,,,
E02000113,Brent,30,25,15,5,15,15,10,20,20,,,,,,,,,,
E02000114,Brent,40,20,45,40,50,20,50,30,15,,,,,,,,,,
E02000115,Brent,30,10,25,15,40,50,60,30,15,,,,,,,,,,
E02000116,Brent,45,20,40,45,20,5,30,20,30,,,,,,,,,,
E02000117,Brent,40,25,35,20,25,5,30,25,30,,,,,,,,,,
E02000118,Brent,55,70,50,20,45,10,30,35,10,,,,,,,,,,
E02000119,Brent,65,170,75,40,40,30,35,90,45,,,,,,,,,,
E02000120,Brent,40,15,65,45,90,50,90,45,30,,,,,,,,,,
E02000121,Brent,60,110,95,30,75,40,50,60,30,,,,,,,,,,
E02000122,Brent,45,15,25,5,60,50,65,45,25,,,,,,,,,,
E02000123,Brent,65,25,95,50,85,20,60,60,40,,,,,,,,,,
E02000124,Brent,65,35,60,55,160,85,140,90,40,,,,,,,,,,
E02000125,Brent,30,15,30,15,95,45,80,55,15,,,,,,,,,,
E02000126,Brent,20,10,20,15,25,20,25,20,20,,,,,,,,,,
E02000127,Bromley,50,10,15,10,25,20,25,20,15,,,,,,,,,,
E02000128,Bromley,65,20,35,20,35,30,50,45,25,,,,,,,,,,
E02000130,Bromley,65,35,60,35,65,40,60,45,25,,,,,,,,,,
E02000131,Bromley,30,15,20,20,75,35,60,35,20,,,,,,,,,,
E02000132,Bromley,65,20,55,50,100,80,95,55,20,,,,,,,,,,
E02000133,Bromley,60,20,30,25,95,115,75,65,45,,,,,,,,,,
E02000134,Bromley,80,50,160,65,105,70,100,105,80,,,,,,,,,,
E02000135,Bromley,50,20,25,20,30,20,45,35,40,,,,,,,,,,
E02000136,Bromley,55,15,20,15,35,30,45,35,20,,,,,,,,,,
E02000137,Bromley,50,5,10,5,45,40,55,20,30,,,,,,,,,,
E02000138,Bromley,55,15,15,15,70,55,70,35,35,,,,,,,,,,
E02000139,Bromley,40,15,25,15,70,40,50,40,30,,,,,,,,,,
E02000140,Bromley,60,25,25,15,25,15,20,25,15,,,,,,,,,,
E02000141,Bromley,30,10,20,10,45,15,30,20,25,,,,,,,,,,
E02000142,Bromley,70,30,25,20,85,75,85,60,25,,,,,,,,,,
E02000144,Bromley,80,35,110,45,115,70,80,120,50,,,,,,,,,,
E02000145,Bromley,55,35,55,15,20,15,20,20,20,,,,,,,,,,
E02000146,Bromley,65,40,40,25,55,30,80,50,35,,,,,,,,,,
E02000147,Bromley,55,15,15,5,70,50,55,35,25,,,,,,,,,,
E02000148,Bromley,55,15,55,40,50,45,55,45,20,,,,,,,,,,
E02000149,Bromley,70,35,45,15,40,30,30,30,25,,,,,,,,,,
E02000150,Bromley,60,25,20,25,35,45,35,25,15,,,,,,,,,,
E02000151,Bromley,40,10,10,10,65,60,45,40,5,,,,,,,,,,
E02000152,Bromley,55,10,20,10,40,15,20,20,20,,,,,,,,,,
E02000153,Bromley,60,10,10,10,40,45,50,25,15,,,,,,,,,,
E02000154,Bromley,50,40,85,45,65,55,80,65,40,,,,,,,,,,
E02000155,Bromley,60,5,15,10,20,15,30,20,15,,,,,,,,,,
E02000156,Bromley,110,25,75,40,80,60,80,60,35,,,,,,,,,,
E02000157,Bromley,35,15,15,5,55,35,30,35,15,,,,,,,,,,
E02000158,Bromley,30,5,10,5,30,15,20,15,25,,,,,,,,,,
E02000159,Bromley,85,35,35,30,45,40,55,55,20,,,,,,,,,,
E02000160,Bromley,90,15,45,35,50,35,45,30,20,,,,,,,,,,
E02000161,Bromley,50,10,15,10,75,40,40,25,20,,,,,,,,,,
E02000162,Bromley,50,15,10,15,25,30,40,35,20,,,,,,,,,,
E02000163,Bromley,75,25,75,20,60,45,45,30,15,,,,,,,,,,
E02000165,Bromley,85,25,15,5,25,10,35,35,15,,,,,,,,,,
E02006782,Bromley,45,10,20,5,35,30,30,30,20,,,,,,,,,,
E02006787,Bromley,55,35,40,25,45,50,35,40,25,,,,,,,,,,
E02006789,Bromley,85,40,35,25,30,30,40,55,10,,,,,,,,,,
E02000166,Camden,40,20,30,20,90,55,90,45,35,,,,,,,,,,
E02000167,Camden,80,20,90,50,90,95,105,75,30,,,,,,,,,,
E02000168,Camden,35,30,60,55,175,65,115,55,40,,,,,,,,,,
E02000169,Camden,30,10,30,20,50,85,65,80,25,,,,,,,,,,
E02000170,Camden,35,25,40,35,100,85,80,50,35,,,,,,,,,,
E02000171,Camden,20,15,20,20,90,50,75,40,25,,,,,,,,,,
E02000172,Camden,20,30,55,35,80,35,65,35,25,,,,,,,,,,
E02000173,Camden,55,40,55,60,135,95,115,120,50,,,,,,,,,,
E02000174,Camden,20,20,40,15,75,40,90,45,40,,,,,,,,,,
E02000175,Camden,50,55,100,75,100,85,105,70,40,,,,,,,,,,
